2025-05-12 19:43:25	7.110000	1899	+00	N0IMH: KB7VX SNR +02 ♢ 
2025-05-12 19:42:59	7.110000	1899	-17	K7JNT: KB7VX SNR -17 ♢ 
2025-05-12 19:42:57	7.110000	1899	+10	W5VRX: KB7VX SNR -15 ♢ 
2025-05-12 19:42:57	7.110000	1899	-15	N4WXI: KB7VX SNR -20 ♢ 
2025-05-12 18:53:25	7.110000	1899	-18	W0WRL: W0CES SNR -04 ♢ 
2025-05-12 18:52:25	7.110000	1899	-12	W0CES: @AMRRON SNR? ♢ 
2025-05-12 17:41:59	7.110000	1899	-17	N8QB: K8DDD SNR +05 ♢ 
2025-05-12 17:37:15	7.110000	1899	-18	N8QB: K8DDD HEARING N4WXI KQ4PLL KD9DSS W0CE…… ♢ 
2025-05-12 17:31:42	7.110000	1899	-08	K8DDD: N8QB SNR? ♢ 
2025-05-12 17:30:27	7.110000	1899	-06	K8DDD: @SEEN SNR? ♢ 
2025-05-12 17:19:57	7.110000	1899	-12	K8DDD: @N8QB SNR? ♢ 
2025-05-12 17:17:59	7.110000	1899	-18	K8DDD: N8QB SNR -13 ♢ 
2025-05-12 17:15:42	7.110000	1899	-05	N4WXI: K8DDD SNR +12 ♢ 
2025-05-12 17:15:29	7.110000	1899	-17	K8DDD: N4WXI SNR? ♢ 
2025-05-12 17:09:42	7.110000	1899	-10	N4WXI: @AMRRON  STATREP RECEIVED    * KD9DSS * KQ4PLL ♢ 
2025-05-12 17:06:42	7.110000	1899	-11	K8DDD: KQ4PLL SNR -13 ♢ 
2025-05-12 17:06:27	7.110000	1899	-11	KQ4PLL: K8DDD SNR? ♢ 
2025-05-12 17:05:12	7.110000	1899	-12	K8DDD: @SEEN SNR? ♢ 
2025-05-12 16:49:25	7.110000	1899	-06	W0CES: KE0PLS SNR -15 ♢ 
2025-05-12 16:49:25	7.110000	1899	-09	NY5V: KE0PLS SNR -08 ♢ 
2025-05-12 16:30:42	7.110000	1899	-03	KQ4PLL: @AMRRON  ,EM63UM,1,552,111111111111,AL NTR,{&%} ♢ 
2025-05-12 16:20:25	7.110000	1899	-13	N0IMH: KK6MES SNR -14 ♢ 
2025-05-12 16:09:55	7.110000	1899	-10	W0CES: @AMRRON SNR? ♢ 
2025-05-12 15:21:55	7.110000	1899	+00	NY5V: N7WWA SNR -11 ♢ 
2025-05-12 15:21:55	7.110000	1899	+02	AE4ON: N7WWA SNR -03 ♢ 
2025-05-12 15:21:12	7.110000	1899	+14	N7WWA: @AMRRON SNR? ♢ 
